ID,Profit99,Online99,Age99,Inc99,Tenure99
135,-17,1,4,5,13.16
136,126,0,2,8,4.91
137,382,0,4,6,14.91
138,5,0,5,3,22.5
139,-88,0,2,6,7.75
140,204,0,7,2,15.16
141,170,0,5,5,5
142,-24,0,5,4,20.58
143,273,0,5,9,30.08
144,404,0,4,6,3.5
145,-10,1,4,6,4.5
146,98,0,7,1,18.16
147,11,0,3,7,1.91
148,-17,0,7,9,27.25
149,1,0,1,7,2.75
150,-179,1,4,6,11.08
151,-33,0,2,1,5.16
152,746,1,4,3,18.25
153,-110,0,2,6,5.75
154,7,0,7,6,22.08
155,259,0,7,1,16.16
156,160,0,4,5,25.33
157,73,0,7,5,8.25
158,-78,0,3,4,4.58
159,177,0,4,6,4.16
160,335,0,4,6,5.25
161,1088,0,6,4,26.91
162,-10,0,4,6,15.33
163,400,0,7,7,9
164,285,0,2,3,11.41
165,-27,1,2,6,0.5
166,-48,0,3,7,1.5
167,1517,0,4,9,21.83
168,-59,0,7,3,9.75
169,45,0,3,5,11.25
170,157,1,5,6,26.33
171,563,0,5,6,0.83
172,-95,0,4,9,17.75
173,-69,0,7,4,11.41
174,-97,0,4,9,19.66
175,721,0,5,1,18.33
176,-24,0,2,1,0.66
177,-16,0,7,3,0.58
178,-76,0,6,3,1.58
179,417,0,7,2,0.16
180,75,0,2,6,6.25
181,206,0,3,4,6.25
182,-15,0,4,8,5.08
183,59,0,5,8,5.25
184,-34,0,3,9,13.5
185,609,0,4,4,27.08
186,-7,0,4,6,1.75
187,-211,0,4,6,13.33
188,-150,0,1,4,2.5
189,92,0,5,4,29.66
190,193,0,5,8,21.41
191,367,0,7,9,3.25
192,244,0,7,6,10.66
193,-111,0,4,4,7.08
194,-3,0,2,2,7.25
195,245,0,2,1,5.41
196,-15,0,2,1,4.25
197,-76,0,7,1,30.91
198,490,1,4,9,5.58
199,19,0,6,6,9.83
200,117,0,7,6,6.5
201,755,0,7,3,10.58
202,0,0,2,1,14.91
203,-60,0,6,8,9
204,-23,0,5,5,5.16
205,-26,0,4,3,18.16
206,24,1,1,6,11
207,-16,1,3,6,9.83
208,184,0,2,9,4.16
209,321,1,3,8,21.08
210,-8,0,3,5,9.66
211,-127,0,4,9,24.75
212,125,0,6,3,26.58
213,84,0,3,5,6.08
214,-29,0,7,6,3.83
215,-37,0,2,2,4.16
216,-94,1,4,6,12.91
217,63,0,4,6,23.66
218,49,0,6,3,26.83
219,24,0,5,7,35.08
220,672,0,3,9,5.66
221,135,0,4,6,6.58
222,-38,0,4,8,24.91
223,107,0,3,8,4.66
224,35,0,2,6,1.58
225,-25,0,7,9,11.08
226,254,0,4,2,7.16
227,460,1,4,9,16.16
228,12,0,4,6,7
229,92,0,3,1,3.83
230,-48,0,3,6,5.16
231,551,0,4,9,5.16
232,-22,0,4,4,6.58
233,292,0,2,8,8.33
234,-24,0,4,6,6.5
235,-9,0,5,7,4.91
236,-25,0,7,5,12.16
237,237,0,1,1,0.83
238,-26,1,4,6,4.16
239,-45,0,3,4,1.58
240,372,0,2,9,4.75
241,686,0,4,9,2.41
242,-120,0,4,6,14.08
243,479,0,3,7,2.41
244,-40,0,7,9,1.66
245,-95,0,2,4,4.91
246,-61,0,5,3,18.58
247,-103,0,4,9,32.5
248,48,0,3,8,7.91
249,1003,1,5,5,21.91
250,-20,0,3,3,4.33
251,272,0,3,9,17.08
252,378,0,4,7,27.25
253,-31,0,4,6,0.5
254,-61,0,3,3,6.66
255,-33,0,6,6,0.5
256,-37,0,3,3,1.5
257,572,0,5,9,9.83
258,112,0,3,7,5.41
259,-35,1,5,7,5.5
260,210,1,3,7,17.5
261,195,0,4,7,10.75
262,-41,0,5,6,18.58
263,1,0,4,5,13.5
264,210,0,4,9,13.66
265,152,1,3,5,5.58
266,223,0,7,6,11.58
267,404,1,2,9,5.91
268,-95,0,4,6,3.41
269,-181,0,4,4,18.41
270,486,0,2,6,6.91
271,-6,1,2,6,7.33
272,-202,0,3,8,13.91
273,-30,0,2,3,3.58
274,295,0,3,6,4.83
275,-24,0,4,6,2.58
276,41,0,7,4,7.25
277,-149,1,4,7,29.33
278,416,0,7,4,2.83
279,430,0,4,5,9.66
280,-149,0,3,5,7.41
281,48,0,4,4,8.16
282,-6,0,7,3,7.41
283,-51,0,4,6,4.75
284,3,0,4,6,21.08
285,-52,0,4,4,22.33
286,163,0,5,7,17.5
287,-20,0,3,6,19.33
288,153,0,5,3,10.5
289,503,0,6,4,15.08
290,119,0,2,4,6.33
291,480,1,3,7,9.66
292,-1,0,2,1,7.91
293,-70,0,7,1,21.66
294,552,0,3,9,10.33
295,109,0,5,9,15.66
296,115,0,6,7,5.66
297,-30,0,3,5,4.75
298,314,0,4,2,26
299,285,0,6,9,19.16
300,-7,1,2,1,2.83
301,-66,0,6,6,13.58
302,392,0,4,8,7.41
303,-112,0,6,3,11.08
304,784,0,7,6,15.66
305,1818,0,7,1,30.08
306,33,0,4,1,3.08
307,457,0,4,6,5.91
308,-79,0,6,3,22.5
309,138,0,1,2,7.33
310,-27,0,3,6,2.41
311,141,0,2,4,6
312,110,0,7,4,19.83
313,107,0,6,7,27.66
314,94,0,3,5,6.83
315,48,0,2,3,3.33
316,-9,0,4,1,5
317,111,0,4,2,14.75
318,381,0,5,9,5.25
319,-17,0,2,6,6.66
320,30,0,7,1,20
321,442,1,2,4,8.33
322,720,0,7,4,19.33
323,210,0,3,8,7
324,-2,0,4,6,6.58
325,-3,0,3,1,6.16
326,-53,0,7,6,12
327,103,0,6,3,10.5
328,300,0,3,9,16.33
329,146,0,7,9,0.91
330,145,0,5,5,28
331,58,0,1,6,4.83
332,8,0,2,7,5.91
333,359,0,4,6,2.41
334,0,0,6,5,7.33
335,-4,1,5,6,11.25
336,795,0,7,9,10.91
337,-33,0,6,4,6.83
338,95,1,4,7,7.75
339,6,0,7,6,7.58
340,-12,0,2,1,10.5
341,-3,0,7,7,3.75
342,61,0,7,3,18.25
343,-7,0,7,6,19.25
344,558,0,2,2,1.66
345,96,0,5,6,29.66
346,258,0,3,6,10.33
347,184,1,4,5,33.5
348,-72,0,7,1,10.41
349,827,0,3,6,14.75
350,-34,0,4,3,30.91
351,13,0,4,2,0.75
352,-21,0,4,6,19.41
353,127,0,3,5,6
354,-29,0,2,6,2.33
355,297,0,2,4,9
356,-82,0,7,4,13.33
357,-34,0,7,6,7.58
358,99,0,6,5,11.41
359,-145,0,4,6,4.5
360,9,0,3,9,9.75
361,76,0,4,8,18.58
362,116,0,3,9,33.75
363,-118,0,4,9,11.25
364,-22,1,2,3,6.33
365,-48,0,2,4,4.66
366,147,0,3,5,4.08
367,49,0,5,9,1.66
368,610,0,6,6,6.75
369,205,0,3,6,7.16
370,922,0,4,9,3.91
371,-78,0,2,7,9.66
372,222,0,6,2,3.33
373,37,0,7,2,28.58
374,125,0,4,3,6.33
375,-148,0,6,8,11.5
376,-33,0,3,6,13.5
377,17,0,3,8,3.33
378,107,0,7,9,4.91
379,236,0,7,9,14.16
380,124,0,4,9,5.66
381,-31,0,2,1,12.25
382,-18,0,5,6,28.33
383,-30,0,4,5,1.66
384,-3,0,3,8,3.25
385,-26,0,6,5,6.75
386,257,1,4,6,2.08
387,275,0,7,3,5.08
388,92,0,2,6,2.33
389,226,0,6,6,3.91
390,-58,0,4,5,3.66
391,10,0,6,6,33.41
392,-104,0,3,5,5.5
393,51,1,6,5,0.66
394,10,0,4,7,18.41
395,9,0,1,3,5.33
396,-69,1,5,6,14.08
397,-50,0,4,5,4.25
398,379,0,2,8,4.41
399,516,0,3,7,22.16
400,531,0,5,1,13.08
401,-113,0,2,8,4.75
402,767,0,6,2,25.41
403,736,0,4,7,17.83
404,120,0,3,8,1.25
405,-28,0,3,7,19.83
406,152,0,3,5,5
407,-4,0,4,4,3.5
408,-37,0,4,3,17.91
409,82,0,2,6,4.58
410,-51,0,3,6,10.41
411,-98,1,3,6,1.91
412,1043,0,6,4,31
413,1,1,3,5,0.83
414,16,0,2,4,5.25
415,-89,0,3,6,14.58
416,-29,0,7,2,18
417,44,0,3,6,1.41
418,-36,0,5,9,38.58
419,348,0,3,8,0.66
420,-18,0,3,6,5.83
421,-187,1,5,6,6.91
422,1379,0,5,9,13.41
423,829,0,6,3,28.41
424,-98,1,7,6,16.41
425,50,0,1,4,5
426,-15,1,2,6,2
427,-10,0,2,9,1.5
428,5,0,2,6,4.16
429,41,0,2,4,6.33
430,48,0,3,9,8.41
431,110,0,5,6,2.16
432,-47,0,4,7,3.66
433,-97,0,5,5,25.25
434,466,0,2,5,7.83
435,34,0,5,4,1.5
436,282,0,4,9,23.16
437,-28,0,4,7,7.91
438,-89,0,5,6,1.58
439,-31,0,5,7,16.25
440,-26,0,6,1,25.75
441,165,0,5,6,18.08
442,437,0,3,9,5.41
443,331,0,7,4,21.08
444,-125,1,7,5,9.75
445,881,0,3,3,5
446,-46,0,3,4,6.83
447,-33,0,5,1,0.83
448,-51,0,3,3,20
449,-17,0,4,4,3.83
450,-13,0,3,6,3.91
451,-61,0,2,4,12.41
452,82,0,4,6,26.58
453,469,0,5,5,21.5
454,-123,1,2,8,6.41
455,76,0,6,5,30.83
456,-64,1,2,4,2.41
457,212,0,3,7,19.08
458,1230,0,4,9,1
459,-31,0,3,2,6.08
460,273,0,6,7,6.91
461,-93,0,1,1,15.83
462,331,0,7,9,12.08
463,50,0,5,3,8.83
464,702,0,6,7,31.75
465,349,0,3,9,4.75
466,107,0,3,1,5.75
467,-31,0,3,2,4
468,66,0,5,4,31
469,189,0,6,8,30.25
470,551,0,3,9,17.66
471,-26,1,2,6,3.08
472,-45,0,3,1,14.16
473,-3,0,2,4,4.66
474,156,0,3,6,7.41
475,265,0,4,6,7.83
476,140,0,5,6,27.33
477,30,0,6,2,20.91
478,-16,0,4,1,7.33
479,39,1,3,6,7
480,499,0,5,7,18.58
481,33,0,2,6,3.91
482,-108,0,2,3,11.25
483,90,0,5,4,7.58
484,137,0,7,6,8.16
485,7,0,7,4,5.33
486,93,0,5,9,18.66
487,8,0,5,6,2.5
488,3,0,7,6,36.58
489,-95,0,7,7,7.66
490,83,0,4,9,6.33
491,463,0,4,7,3.75
492,800,0,5,7,2.91
493,-56,0,4,3,30.75
494,121,1,3,4,4.16
495,-82,0,4,5,12.83
496,-140,0,7,5,21.41
497,249,0,6,3,21.66
498,32,1,3,3,7.33
499,-6,0,5,6,1.33
500,-23,0,3,7,1.08
501,-64,1,4,5,30.08
502,-21,0,2,8,6.5
503,119,0,4,8,7.33
504,41,0,7,1,26.33
505,165,0,4,9,23.25
506,-3,0,7,6,15.83
507,1,0,2,9,4.91
508,281,0,4,9,18.91
509,181,0,3,3,11.41
510,-61,0,4,6,0.91
511,-15,0,2,5,3.91
512,-59,1,1,5,9.08
513,-72,0,3,3,2.25
514,85,1,2,6,5.66
515,-32,0,4,3,7.33
516,1,0,3,4,8.16
517,-30,0,2,7,7.66
518,-45,0,7,2,36
519,55,1,4,3,0.58
520,-10,1,2,1,7.58
521,-74,0,2,7,5.33
522,-106,0,2,7,4.5
523,-2,0,2,4,4.91
524,-124,0,2,3,5.91
525,-16,0,5,1,24.33
526,208,1,2,6,7.08
527,52,0,7,8,14.33
528,-41,1,2,4,7.5
529,-14,0,5,8,14.83
530,5,0,3,7,10.25
531,118,0,3,3,3.33
532,495,0,4,6,7.58
533,-22,0,7,5,11.16
534,67,0,4,7,2.5
535,-30,0,5,4,0.91
536,571,0,3,3,4.83
537,16,0,7,3,14.25
538,-2,0,4,6,14.83
539,60,0,2,6,4.66
540,37,0,5,8,17.58
541,1016,0,3,7,15.5
542,-24,1,2,5,6.83
543,171,0,3,9,3.25
544,82,0,3,7,6.66
545,-55,0,3,8,6.16
546,-55,0,5,3,14.33
547,-25,0,4,6,0.83
548,-2,0,2,5,7.58
549,-34,0,7,5,4.16
550,-2,0,3,1,3
551,-52,0,4,6,4.66
552,11,0,4,2,13
553,40,0,4,7,16.08
554,15,0,6,5,5.66
555,249,0,6,6,7.58
556,-199,0,2,6,5
557,141,0,3,7,8.08
558,-29,0,4,7,12.25
559,14,0,3,3,17.08
560,-28,0,4,5,5.08
561,177,0,4,3,13.16
562,-155,0,4,5,21.66
563,-31,0,4,6,23.08
564,-14,0,2,8,8
565,7,0,5,6,27.91
566,33,1,4,7,7
567,-57,0,6,4,7.08
568,199,0,2,1,0.58
569,155,0,3,8,4.25
570,-85,1,3,6,3
571,23,0,2,7,5.08
572,-120,1,2,1,0.83
573,81,0,6,4,29.41
574,-64,1,3,9,12
575,-133,0,6,7,25.41
576,-62,0,3,3,15.58
577,129,0,7,1,4.5
578,105,0,6,5,17.08
579,57,1,2,2,9.58
580,-21,0,3,5,2.41
581,846,0,7,7,17.25
582,-63,0,6,1,7.25
583,206,0,4,7,14.83
584,-103,0,4,7,17.66
585,-2,1,2,7,11.41
586,124,0,5,7,10.41
587,-21,0,3,3,0.83
588,-5,0,4,7,3.5
589,141,0,4,6,10.58
590,326,0,4,9,4.66
591,-69,0,4,3,9.66
592,1130,0,5,9,6.66
593,-61,0,7,1,26.25
594,-34,1,3,1,16.58
595,-75,1,3,8,10.58
596,25,0,4,6,26.75
597,-122,0,4,2,3.83
598,292,0,7,6,30.08
599,-29,0,5,6,13.83
600,76,0,5,6,5.16
601,-6,0,4,3,1.16
602,422,0,2,7,6.75
603,-23,0,4,6,10.91
604,302,0,4,6,28.41
605,3,0,4,5,13.5
606,-66,0,6,8,23.5
607,-29,0,3,5,1.5
608,344,0,6,6,28.16
609,-53,0,6,6,2.91
610,520,0,4,8,15.91
611,390,1,2,3,8.75
612,179,0,3,6,12.75
613,-39,1,4,6,15.25
614,185,1,4,8,3
615,465,0,3,8,12.58
616,375,0,5,6,7.83
617,-42,0,2,8,6.66
618,70,0,7,5,2.58
619,-5,0,4,1,23.91
620,48,0,3,8,17.5
621,42,0,5,4,26.16
622,-67,0,6,6,30.41
623,70,0,3,9,18.08
624,875,0,5,6,13.16
625,-31,0,6,6,1.41
626,-34,1,3,9,6.75
627,-27,1,1,9,0.91
628,15,1,5,2,3.41
629,-3,0,3,7,9.41
630,617,0,5,9,26.75
631,-19,0,3,1,5.91
632,43,0,6,7,23.83
633,-128,0,5,4,27.91
634,169,0,6,1,8.16
635,185,0,3,9,4.83
636,3,0,4,7,26.33
637,-4,1,4,4,1.58
638,-22,1,2,1,8.08
639,-146,0,3,4,20.33
640,-28,0,1,3,2.5
641,-22,0,3,7,19.58
642,-28,0,7,6,31.58
643,239,0,7,3,22.08
644,101,0,4,7,3.41
645,1095,0,4,8,10.16
646,6,1,2,1,2.58
647,-54,0,5,6,6.41
648,-109,0,2,3,1.08
649,-31,0,5,6,7.58
650,-62,0,2,5,5.41
651,62,0,3,5,13.83
652,28,0,3,6,9.5
653,501,0,3,8,4.33
654,746,0,3,6,9.08
655,174,0,5,4,1.25
656,-159,0,5,3,14.41
657,-63,0,2,6,6.33
658,-3,0,4,9,0.66
659,-15,0,2,6,8.16
660,-32,0,3,6,4.75
661,709,0,5,7,9.5
662,-126,0,5,3,33.08
663,215,0,5,2,37.25
664,-27,0,4,7,6.41
665,90,0,7,4,22.91
666,-34,0,2,3,7.08
667,-57,0,7,7,7.83
668,-7,0,3,8,2.58
669,166,1,4,4,13.83
670,21,0,7,5,24.91
671,146,0,4,9,12.58
672,2039,0,6,1,24.16
673,-26,0,3,4,22.91
674,1599,0,5,6,25.83
675,77,0,5,7,4
676,28,0,4,6,14.58
677,78,0,4,5,16.91
678,-56,1,3,6,6.5
679,76,0,7,4,18.16
680,141,0,4,7,10.5
681,16,0,4,2,22.25
682,-39,0,3,6,7.5
683,-16,0,7,3,15.5
684,224,0,7,9,4.5
685,-44,0,4,6,4.41
686,-17,1,2,5,4.58
687,-23,0,3,6,0.66
688,854,0,5,6,27.75
689,195,0,7,8,12.66
690,49,0,3,8,3.75
691,-13,0,4,9,25.33
692,-58,0,3,3,4.58
693,87,0,6,2,15.5
694,127,0,5,7,8.41
695,233,0,4,7,13.5
696,294,0,3,4,14.16
697,-17,1,1,1,12.16
698,21,0,4,7,17.66
699,-58,1,3,5,6.41
700,-7,0,3,7,1.08
701,-34,0,3,3,6
702,106,0,5,5,28.16
703,-71,0,7,6,0.33
704,457,1,4,1,21.25
705,79,1,3,6,15.5
706,36,0,4,4,3.91
707,450,0,7,8,15.83
708,-67,0,7,8,18.66
709,84,0,3,6,10.41
710,182,0,5,6,5.66
711,-76,0,3,6,9.41
712,64,0,5,6,1.16
713,-10,0,4,1,9.41
714,-30,0,4,5,6.58
715,496,1,4,9,14.66
716,60,1,3,6,22.58
717,-20,1,2,7,0.41
718,108,0,7,6,10.91
719,440,0,3,7,10.5
720,261,0,3,4,0.91
721,-37,1,4,6,1
722,-9,0,5,3,8.41
723,114,0,2,4,2.33
724,100,0,2,1,2.83
725,-32,0,4,4,8.5
726,-43,0,5,5,10.25
727,118,0,5,3,21.16
728,-81,1,2,1,10
729,-16,0,7,4,1.83
730,-142,1,2,8,11
731,-23,0,4,3,2.41
732,-54,0,4,5,6.83
733,354,0,6,5,3.75
734,236,0,3,7,10.33
735,-29,0,3,1,3.33
736,-9,0,3,5,4.75
737,-48,0,4,8,6.08
738,129,0,5,7,27.83
739,-49,0,4,4,5.5
740,29,0,3,7,17.66
741,136,0,7,1,28.41
742,80,0,2,7,9.5
743,433,0,7,4,10.41
744,-61,0,6,4,31.25
745,-57,0,6,1,16.16
746,-55,0,2,3,3.91
747,323,0,3,7,4.66
748,-38,0,2,1,4.25
749,124,1,3,5,3.41
750,1980,0,2,5,12.41
751,111,0,7,2,20.5
752,-27,1,2,5,4.75
753,65,0,5,6,3.41
754,502,0,7,4,31.83
755,-78,0,6,2,7.75
756,-37,0,7,1,6.08
757,68,1,3,5,5.33
758,-22,0,5,5,1.33
759,-63,0,6,6,2.33
760,-132,0,5,9,4.33
761,546,0,4,9,19.25
762,-19,0,4,8,18.75
763,-37,0,5,5,30.08
764,64,0,5,8,5.08
765,-96,0,2,7,7.41
766,39,0,4,6,0.41
767,647,0,3,7,3.16
768,-116,0,2,1,4.66
769,-12,1,2,5,7.5
770,207,0,2,8,7.41
771,-34,0,6,8,6.83
772,-38,0,4,8,5.25
773,-100,0,3,7,4.16
774,-20,0,4,2,4.33
775,-29,0,2,4,3.75
776,-49,0,7,8,4.66
777,101,1,3,5,13.08
778,151,0,5,3,5.33
779,24,0,2,7,1.5
780,192,1,2,9,4.16
781,-70,1,2,8,7.33
782,367,0,6,6,27
783,406,0,5,6,21.41
784,-15,0,3,5,7.41
785,-66,0,1,1,9.33
786,-16,0,2,5,5.25
787,-24,0,1,7,3
788,-34,0,3,5,13.91
789,95,0,4,5,3.5
790,274,0,4,5,4.08
791,14,0,3,3,3.41
792,101,0,7,7,22.75
793,264,1,2,7,1.83
794,68,0,3,5,3.75
795,-52,0,5,6,2.66
796,-42,0,4,1,14.75
797,-24,0,4,7,3.5
798,-48,0,2,6,1.83
799,208,1,3,7,6.75
800,-34,0,3,6,6.16
801,934,0,2,2,7.41
802,-20,0,1,3,3.16
803,46,0,6,4,20.16
804,440,0,3,6,3.25
805,724,0,6,5,30.08
806,-59,0,3,6,2.16
807,-32,0,5,8,10.58
808,144,0,3,6,6.08
809,-29,1,4,9,12.08
810,-5,0,2,9,5.83
811,848,0,3,9,3.58
812,294,0,3,7,11.58
813,313,0,4,4,23.58
814,-3,0,2,6,5.16
815,754,0,7,4,10.41
816,344,0,4,7,5.25
817,-60,1,2,8,5.33
818,736,0,3,6,7.41
819,-27,0,1,1,7.41
820,-51,0,6,6,7.5
821,34,0,2,1,1.66
822,124,1,4,6,17.41
823,424,0,3,4,7
824,87,0,2,6,3.91
825,-43,0,4,8,15.08
826,-46,0,4,8,17.5
827,81,1,6,3,13.33
828,-38,0,3,1,8
829,67,1,1,6,1.75
830,109,0,2,2,9.91
831,-3,0,2,1,0.75
832,267,0,6,3,22.08
833,74,0,5,5,15.91
834,273,0,6,5,33.83
835,-29,0,5,4,2.41
836,18,0,2,6,4.75
837,-99,0,2,6,7.41
838,-88,0,3,4,9.66
839,-4,0,6,9,21.66
840,201,0,3,4,5.66
841,-1,0,3,5,3.75
842,469,0,2,6,5.08
843,-36,0,2,3,2.58
844,-8,0,1,3,2.91
845,-13,0,2,6,2.5
846,1005,0,6,4,17.75
847,1562,0,5,6,2.83
848,832,0,7,4,1
849,-51,0,2,6,2.5
850,-64,0,6,1,3.33
851,-62,0,6,6,32.41
852,119,0,5,6,7.75
853,0,0,4,6,10.83
854,80,0,4,4,4.58
855,-41,0,4,5,28.41
856,150,0,6,3,11.25
857,480,0,4,7,8.08
858,-40,0,3,2,5.58
859,82,0,3,4,2.16
860,-38,0,2,6,8.5
861,488,0,5,6,6.25
862,202,0,4,9,27.08
863,-14,0,4,6,7.41
864,2,0,4,7,6.66
865,159,0,7,6,26.25
866,246,1,4,6,28.75
867,127,0,4,7,15.66
868,249,0,4,3,2.08
869,-72,0,4,7,16
870,-88,1,5,9,35.66
871,64,0,3,1,1.25
872,117,0,4,6,14.25
873,-17,0,3,5,14.25
874,-1,0,2,5,5.41
875,227,0,2,7,6.91
876,-183,0,3,7,2.75
877,-21,1,2,9,5.08
878,996,0,4,7,18.66
879,416,0,4,7,8.83
880,41,0,7,6,12.75
881,24,1,7,1,29.91
882,-58,0,3,7,6.83
883,-71,0,5,4,12.83
884,-94,0,3,6,10.08
885,2063,0,3,9,2.75
886,-31,0,4,3,8.91
887,19,0,3,7,24.16
888,417,0,5,7,27.66
889,-18,0,3,1,0.66
890,-2,0,4,3,5.83
891,275,0,4,3,11.91
892,38,0,6,7,13.25
893,-6,0,2,3,2.25
894,425,0,5,5,30
895,-70,0,7,3,1.5
896,-55,0,2,7,2.16
897,-13,0,4,3,8.91
898,-26,0,3,1,3.58
899,80,1,3,8,11.5
900,366,0,7,3,19.16
901,641,0,7,7,14.33
902,61,0,5,6,6
903,220,0,2,8,10.41
904,369,0,2,5,25.25
905,-152,0,2,7,16.33
906,128,1,2,7,9.5
907,-113,0,6,4,37.58
908,327,0,4,9,6.5
909,1027,0,6,6,0.5
910,73,0,6,6,1.5
911,-181,0,4,6,2.41
912,-24,0,3,9,8.33
913,958,0,4,7,8.91
914,-20,0,4,4,3.75
915,58,0,2,7,4.33
916,-7,0,6,3,5.5
917,-60,0,6,3,0.83
918,-89,0,4,7,18.08
919,110,0,3,5,19.25
920,336,0,3,7,4.25
921,429,0,4,7,22.08
922,-8,0,3,2,4.91
923,-90,0,6,3,3.83
924,-64,0,4,9,1
925,-186,1,4,9,20.83
926,115,0,4,6,17.25
927,25,0,7,6,15
928,25,0,5,3,19.33
929,658,0,5,9,11.83
930,770,1,3,9,6.75
931,-33,0,3,6,5.16
932,392,0,4,5,25.5
933,-142,0,7,7,20.83
934,80,0,3,6,5
935,370,1,3,7,7.16
936,603,0,2,6,9.83
937,-17,0,4,6,27.33
938,-10,0,4,7,3.5
939,176,0,6,1,0.41
940,-26,0,6,5,12
941,169,0,5,8,7.41
942,-194,0,2,3,6.91
943,-27,0,3,4,5.08
944,-15,0,5,4,4
945,434,0,7,3,22.08
946,-179,0,1,8,4.75
947,12,0,2,1,1.91
948,3,0,4,9,4.25
949,-29,0,3,4,0.33
950,-21,0,7,8,9.41
951,80,0,2,2,6.58
952,-22,1,2,6,8.16
953,56,0,6,7,8.08
954,-2,0,3,7,1.41
955,5,0,5,3,23.58
956,83,0,5,7,16.75
957,-30,1,3,3,2.5
958,26,0,3,5,4.66
959,-71,0,3,2,7.91
960,-34,0,3,8,20.75
961,194,0,7,1,26.25
962,-93,0,4,6,11
963,980,0,7,8,2.25
964,1550,1,5,8,10.5
965,174,1,4,6,5.58
966,-71,1,1,3,11
967,-60,0,4,3,1.41
968,286,0,5,5,7.58
969,-133,0,5,6,17.91
970,29,0,5,9,7.16
971,269,0,3,7,14.25
