ID,Profit99,Online99,Age99,Inc99,Tenure99,Profit00,Online00,condition
175,-6,0,2,6,6.58,-31,1,1
176,322,0,3,9,15,508,1,1
177,49,0,3,4,6.41,-6,1,1
178,344,0,2,7,5.41,188,1,1
179,-13,0,4,5,5.25,111,1,1
180,-44,0,7,6,10.91,-79,1,1
181,268,0,3,9,9.58,-9,1,1
182,-23,0,3,4,5.5,-31,1,1
183,-41,0,7,2,7.33,-48,1,1
184,-156,0,4,7,19.16,-170,1,1
185,214,0,5,9,1.33,182,1,1
186,-43,0,6,6,39.5,-42,1,1
187,-28,0,3,3,3.66,55,1,1
188,199,0,3,3,8.33,112,1,1
189,-27,0,3,6,2.58,-15,1,1
190,3,0,3,4,2.58,-1,1,1
191,177,0,2,6,8.33,348,1,1
192,-3,0,2,3,1,-27,1,1
193,-34,0,4,6,6.66,245,1,1
194,51,0,2,5,5.66,62,1,1
195,182,0,4,7,18.41,135,1,1
196,176,0,3,8,9.66,243,1,1
197,696,0,3,7,10.41,458,1,1
198,-74,0,7,2,12.25,501,1,1
199,323,0,4,1,15.66,452,1,1
200,145,0,2,7,7.25,142,1,1
201,371,0,2,7,4.75,1245,1,1
202,-155,0,4,5,11.58,-161,1,1
203,-43,0,4,9,8.33,2,1,1
204,24,0,2,4,4.41,87,1,1
205,-107,0,7,8,6.91,-79,1,1
206,109,0,2,4,4.41,82,1,1
207,123,0,4,9,27.5,356,1,1
208,62,0,6,7,29.16,75,1,1
209,132,0,1,3,6.41,129,1,1
210,29,0,4,5,7.41,30,1,1
211,55,0,4,5,13.5,-261,1,1
212,70,0,4,7,4.66,269,1,1
213,971,0,4,3,2,534,1,1
214,3,0,5,7,14.75,-32,1,1
215,-82,0,4,5,16,224,1,1
216,-68,0,3,6,5.41,-48,1,1
217,240,0,2,9,8.41,352,1,1
218,-29,0,3,5,2,-29,1,1
219,-170,0,3,3,5.25,-199,1,1
220,20,0,2,9,10.08,14,1,1
221,-64,0,4,6,14.58,-39,1,1
222,-10,0,2,7,3.75,-17,1,1
223,110,0,1,2,0.83,196,1,1
224,189,0,3,9,18.83,22,1,1
225,-54,0,2,1,6,89,1,1
226,-101,0,2,9,6.41,-39,1,1
227,-20,0,5,6,8.91,2,1,1
228,-84,0,2,4,3.41,372,1,1
229,-134,0,4,5,18.91,-97,1,1
230,251,0,6,3,10.66,358,1,1
231,-143,0,5,6,26.5,-123,1,1
232,60,0,3,3,1.16,196,1,1
233,-120,0,1,6,3.58,-91,1,1
234,134,0,3,7,6.91,139,1,1
235,305,0,4,5,16.83,664,1,1
236,254,0,4,5,11.5,299,1,1
237,135,0,4,9,10.75,452,1,1
238,382,0,3,8,16,59,1,1
239,-29,0,2,4,3.66,-29,1,1
240,538,0,5,6,7.66,453,1,1
241,-28,0,2,7,5.66,-22,1,1
242,238,0,2,6,3.08,277,1,1
243,-9,0,4,4,12.08,-10,1,1
244,-55,0,3,2,4.66,-132,1,1
245,-34,0,3,7,4.58,-123,1,1
246,11,0,1,6,4.5,7,1,1
247,0,0,5,6,22.33,554,1,1
248,844,0,4,4,13.16,479,1,1
249,-77,0,2,4,12.5,250,1,1
250,17,0,2,3,2,-109,1,1
251,-43,0,3,6,6.5,-46,1,1
252,12,0,4,5,14.08,14,1,1
253,-41,0,3,3,7.5,-15,1,1
254,61,0,2,7,5.91,63,1,1
255,0,0,2,3,2.83,-17,1,1
256,679,0,4,7,13.75,824,1,1
257,1395,0,3,8,19.33,1346,1,1
258,-52,0,4,6,6.33,169,1,1
259,177,0,3,8,10.25,127,1,1
260,124,0,4,6,14.08,205,1,1
261,78,0,3,8,2,325,1,1
262,0,0,3,6,15.75,-72,1,1
263,315,0,3,6,0.58,144,1,1
264,154,0,2,3,2.83,129,1,1
265,-1,0,1,1,2.83,-22,1,1
266,-70,0,4,7,22.08,-33,1,1
267,-172,0,3,4,14.83,233,1,1
268,-19,0,3,5,1.5,17,1,1
269,-4,0,2,5,5.91,80,1,1
270,-28,0,3,3,3.83,-83,1,1
271,436,0,5,8,25,150,1,1
272,165,0,3,6,13.58,163,1,1
273,261,0,5,6,25.91,791,1,1
274,41,0,5,6,24.66,-65,1,1
275,575,0,4,1,0.75,182,1,1
276,576,0,3,8,20.16,812,1,1
277,-42,0,3,7,4.83,4,1,1
278,-15,0,4,4,6.83,-12,1,1
279,215,0,4,5,31.25,589,1,1
280,6,0,1,2,2.5,-12,1,1
281,-42,0,5,8,19.08,-57,1,1
282,212,0,5,8,1,-79,1,1
283,559,0,3,9,6.41,977,1,1
284,1139,0,7,2,6.66,1885,1,1
285,147,0,1,7,6.83,116,1,1
286,-163,0,2,6,10.75,72,1,1
287,108,0,2,9,1.66,-200,1,1
288,-21,0,3,6,10.75,183,1,1
289,-93,0,4,4,7.16,-39,1,1
290,52,0,5,6,9.5,55,1,1
291,99,0,3,9,11.16,192,1,1
292,-83,0,2,4,5,-84,1,1
293,209,0,4,3,6.41,368,1,1
294,-52,0,3,5,4.5,-63,1,1
295,280,0,2,8,3.33,381,1,1
296,-71,0,1,6,7.83,-40,1,1
297,103,0,5,5,28.25,-55,1,1
298,877,0,3,8,2.5,1016,1,1
299,736,0,3,7,1.58,680,1,1
300,-48,0,3,7,3.66,-45,1,1
301,-19,0,5,5,27.08,-21,0,0
302,-64,0,1,3,1,-72,0,0
303,10,0,6,9,35.75,2,0,0
304,25,0,5,2,1,6,0,0
305,399,0,2,8,9.58,42,0,0
306,117,0,3,8,1,173,0,0
307,-99,0,1,1,22.83,-118,0,0
308,-28,0,4,5,20,219,0,0
309,-92,0,2,9,7.58,-11,0,0
310,-161,0,5,5,19.58,-40,0,0
311,-63,0,4,3,7.5,-63,0,0
312,-28,0,3,6,20.33,-29,0,0
313,870,0,6,7,32.33,589,0,0
314,-39,0,3,9,8.58,5,0,0
315,-21,0,3,8,1.75,-56,0,0
316,75,0,1,6,9.91,277,0,0
317,-24,0,2,8,4.58,10,0,0
318,-25,0,5,8,32.41,-41,0,0
319,-56,0,3,8,16.08,-50,0,0
320,47,0,3,3,9.25,136,0,0
321,-35,0,3,8,25.58,-28,0,0
322,321,0,5,7,3.66,304,0,0
323,-49,0,2,3,10.83,-19,0,0
324,183,0,2,7,11.75,157,0,0
325,114,0,6,9,3.75,145,0,0
326,8,0,1,8,1.58,21,0,0
327,-150,0,3,5,8,-134,0,0
328,1,0,1,5,4.83,246,0,0
329,-7,0,1,1,1,-25,0,0
330,65,0,2,3,3.66,62,0,0
331,33,0,4,9,7.25,36,0,0
332,-96,0,3,7,1,44,0,0
333,14,0,2,6,13.33,-126,0,0
334,-97,0,6,5,28.08,43,0,0
335,73,0,5,8,4.5,236,0,0
336,-10,0,4,5,2.66,-11,0,0
337,-41,0,6,3,36.16,-17,0,0
338,767,0,5,2,22.41,647,0,0
339,337,0,5,7,11.41,165,0,0
340,-18,0,5,6,1,-26,0,0
341,536,0,4,9,13.41,398,0,0
342,-3,0,2,2,3.25,-29,0,0
343,-146,0,1,8,5,-17,0,0
344,351,0,4,8,1,193,0,0
345,-30,0,2,7,1.66,-29,0,0
346,-3,0,6,6,19.41,-24,0,0
347,167,0,4,6,26.83,193,0,0
348,9,0,1,9,1,29,0,0
349,215,0,1,4,1.08,160,0,0
350,2,0,3,8,8.08,39,0,0
351,27,0,3,9,16.08,127,0,0
352,-70,0,4,6,16.5,-46,0,0
353,233,0,3,7,2.5,31,0,0
354,327,0,4,4,8.25,103,0,0
355,643,0,3,6,16.33,646,0,0
356,-75,0,4,9,20.83,131,0,0
357,58,0,4,4,25.58,84,0,0
358,12,0,2,1,2.66,-5,0,0
359,1259,0,3,9,18.41,1105,0,0
360,1801,0,2,9,2.25,1641,0,0
361,190,0,3,7,26.41,393,0,0
362,255,0,6,6,8.08,-26,0,0
363,512,0,5,9,38.83,850,0,0
364,65,0,2,4,6.66,105,0,0
365,201,0,4,6,1.25,276,0,0
366,-66,0,3,8,4.16,-34,0,0
367,12,0,1,1,5.08,-26,0,0
368,472,0,6,4,22.91,570,0,0
369,-187,0,2,9,3.91,109,0,0
370,-57,0,1,7,1,-7,0,0
371,599,0,4,5,17.16,244,0,0
372,-45,0,3,8,6.33,2,0,0
373,-53,0,4,7,30.08,-52,0,0
374,66,0,6,8,27.33,73,0,0
375,25,0,5,9,9.08,44,0,0
376,306,0,4,6,18.91,325,0,0
377,-1,0,3,3,11.16,245,0,0
378,-33,0,2,5,2.41,52,0,0
379,-22,0,2,8,1.41,297,0,0
380,-52,0,2,9,2.08,-43,0,0
381,124,0,5,3,1,70,0,0
382,-155,0,4,9,12.5,-155,0,0
383,172,0,2,9,8.08,98,0,0
384,281,0,3,9,16,243,0,0
385,-28,0,1,6,1,-26,0,0
386,91,0,4,8,14.83,210,0,0
387,218,0,6,8,28.5,232,0,0
388,26,0,4,4,3.58,-6,0,0
389,253,0,5,5,15.41,312,0,0
390,314,0,3,4,8.66,678,0,0
391,144,0,2,3,10.16,42,0,0
392,196,0,1,6,3.41,212,0,0
393,47,0,6,3,1.83,17,0,0
394,4,0,6,4,12.83,75,0,0
395,-33,0,1,3,7.41,135,0,0
396,357,0,3,4,1,-21,0,0
397,136,0,5,6,2.16,252,0,0
398,32,0,3,9,5.41,-120,0,0
399,-77,0,5,3,2.5,-55,0,0
400,450,0,5,5,8.41,685,0,0
401,-97,0,3,7,11,-104,0,0
402,403,0,3,6,7.16,280,0,0
403,-2,0,3,8,6.5,2,0,0
404,-15,0,5,6,6.83,-6,0,0
405,46,0,6,4,19.08,83,0,0
406,472,0,6,3,19.08,663,0,0
407,805,0,2,8,4.91,513,0,0
408,-72,0,2,7,17.5,23,0,0
409,-70,0,2,4,5,-92,0,0
410,-175,0,2,7,14.08,-122,0,0
411,-26,0,3,5,2,-26,0,0
412,5,0,6,4,30.08,-17,0,0
413,-30,0,2,3,4.16,-30,0,0
414,573,0,3,7,12,523,0,0
415,490,0,4,6,10.58,281,0,0
416,-80,0,7,2,18.66,-76,0,0
417,436,0,6,9,3.25,-38,0,0
418,-29,0,2,3,1,95,0,0
419,554,0,3,6,5.41,343,0,0
420,18,0,1,7,6.66,74,0,0
421,-76,0,5,3,1.75,-94,0,0
422,81,0,2,5,3.5,73,0,0
423,80,0,1,8,5.75,102,0,0
424,-83,0,4,4,6.41,-83,0,0
425,-84,0,4,6,13.08,-85,0,0
426,-57,0,6,4,1,-60,0,0
427,159,0,6,5,1.66,174,0,0
428,-101,0,3,6,3.5,48,0,0
429,234,0,4,7,27.5,424,0,0
430,618,0,3,9,1,794,0,0
431,13,0,2,7,12.33,249,0,0
432,-2,0,3,6,2,-3,0,0
433,-31,0,2,2,3.08,-27,0,0
434,273,0,2,9,17.75,234,0,0
435,-16,0,6,3,1,-83,0,0
436,-208,0,4,7,6,-46,0,0
437,127,0,4,4,20.5,273,0,0
438,210,0,2,8,7,267,0,0
439,-73,0,2,6,14.08,73,0,0
440,548,0,5,7,27.08,437,0,0
441,261,0,4,6,10.66,424,0,0
442,54,0,3,4,1.41,11,0,0
443,356,0,4,9,13.66,386,0,0
444,-49,0,6,2,2,-85,0,0
445,12,0,7,7,31.83,74,0,0
446,-30,0,2,4,5.16,-39,0,0
447,-121,0,3,9,4.91,155,0,0
448,-219,0,6,5,5.5,-211,0,0
449,37,0,3,8,2.83,31,0,0
450,1,0,2,7,2.25,14,0,0
451,514,0,4,7,4.41,327,0,0
452,-25,0,2,2,9.41,-30,0,0
453,95,0,4,6,3.5,104,0,0
454,-44,0,1,4,9.25,172,0,0
455,283,0,1,9,7.33,177,0,0
456,260,0,6,7,1.5,343,0,0
457,14,0,3,8,16.08,23,0,0
458,-9,0,6,2,6.16,-7,0,0
459,655,0,2,7,4.16,465,0,0
460,185,0,2,9,4.83,140,0,0
461,1371,0,3,6,13,1174,0,0
462,13,0,3,5,20.91,37,0,0
463,149,0,3,9,9.08,205,0,0
464,83,0,1,9,9.75,83,0,0
465,224,0,4,9,20.41,229,0,0
466,-37,0,1,5,4.41,-22,0,0
467,83,0,3,8,7.91,132,0,0
468,31,0,4,6,10.08,46,0,0
469,-128,0,7,8,40.33,7,0,0
470,22,0,2,7,3.33,273,0,0
471,-25,0,3,2,17.5,-25,0,0
472,-143,0,2,2,3.16,-75,0,0
473,489,0,3,7,5.5,299,0,0
474,212,0,4,6,14.75,224,0,0
475,6,0,3,6,12.91,-28,0,0
476,-87,0,3,7,19.58,-85,0,0
477,-99,0,3,7,24.25,-45,0,0
478,2,0,3,4,3.75,-18,0,0
479,-52,0,4,9,11.83,-11,0,0
480,87,0,3,9,7.83,-58,0,0
481,253,0,4,8,1,356,0,0
482,12,0,2,8,4.25,12,0,0
483,14,0,5,3,1.66,-38,0,0
484,-54,0,6,1,13.41,-58,0,0
485,77,0,4,7,1,50,0,0
486,-18,0,1,7,2,-21,0,0
487,544,0,4,8,19.16,362,0,0
488,109,0,6,3,19.33,177,0,0
489,-20,0,4,5,14,-17,0,0
490,-134,0,3,6,8.58,-116,0,0
491,-163,0,5,4,8.16,-167,0,0
492,160,0,7,6,9.75,13,0,0
493,257,0,4,2,5.83,195,0,0
494,9,0,3,5,8.58,-48,0,0
495,-18,0,3,7,24,-20,0,0
496,-98,0,3,6,6.41,-7,0,0
497,-21,0,6,9,31.25,153,0,0
498,303,0,3,7,5.33,97,0,0
499,23,0,3,6,2.5,-67,0,0
500,410,0,6,4,4.41,431,0,0
501,5,0,2,6,2.58,85,0,0
502,136,0,4,6,29.16,85,0,0
503,-54,0,2,7,10.33,83,0,0
504,12,0,4,9,19.66,29,0,0
505,80,0,3,4,12.91,93,0,0
506,-6,0,2,3,4.41,-3,0,0
507,-100,0,2,8,4.16,101,0,0
508,139,0,3,9,3.91,127,0,0
509,291,0,7,9,15.91,229,0,0
510,-37,0,2,5,7.08,-63,0,0
511,348,0,4,1,6.66,400,0,0
512,23,0,2,5,3.75,11,0,0
513,-37,0,3,5,6.16,-48,0,0
514,1078,0,6,9,17,1006,0,0
515,-1,0,1,9,6.08,-3,0,0
516,417,0,2,7,1.58,25,0,0
517,418,0,5,8,14.83,350,0,0
518,116,0,1,1,1,-25,0,0
519,-74,0,6,7,2.5,-67,0,0
520,-45,0,4,6,7.58,-36,0,0
521,73,0,1,3,19.91,98,0,0
522,63,0,1,3,3.5,93,0,0
523,1,0,4,6,13.08,-23,0,0
524,144,0,3,6,7.41,174,0,0
525,-64,0,1,4,5.5,-66,0,0
526,35,0,7,6,11.83,85,0,0
527,-3,0,3,9,1,-8,0,0
528,-17,0,3,2,3.33,109,0,0
529,14,0,4,3,1,19,0,0
530,97,0,2,6,4.41,227,0,0
531,-12,0,2,7,5.33,-13,0,0
532,570,0,7,5,10.08,134,0,0
533,-34,0,3,8,5.91,194,0,0
534,8,0,3,4,8.25,-54,0,0
535,216,0,6,8,9.83,164,0,0
536,-20,0,2,7,2.58,-129,0,0
537,-73,0,6,5,26.58,-89,0,0
538,-111,0,4,5,2.5,20,0,0
539,137,0,6,6,28.66,104,0,0
540,304,0,4,4,3.58,218,0,0
541,-28,0,3,3,1.91,-29,0,0
542,-90,0,4,3,14.75,-82,0,0
543,40,0,3,4,12.75,56,0,0
544,533,0,7,3,17.08,407,0,0
545,78,0,2,6,7.25,63,0,0
546,-31,0,3,8,2,-31,0,0
547,223,0,2,9,15.66,507,0,0
548,-48,0,2,7,12,-1,0,0
549,-11,0,5,7,8.33,-25,0,0
550,221,0,5,9,28.5,209,0,0
551,400,0,2,7,15.5,250,0,0
552,-18,0,6,7,30.83,-45,0,0
553,861,0,4,9,24.25,849,0,0
554,443,0,6,5,26.33,371,0,0
555,-17,0,3,6,24.33,-16,0,0
556,218,0,6,6,27.66,338,0,0
557,164,0,6,4,31.75,128,0,0
558,-31,0,3,6,23.08,-1,0,0
559,-4,0,5,3,7.5,2,0,0
560,-65,0,6,6,13.83,-58,0,0
561,-48,0,2,7,1.66,-43,0,0
562,-192,0,5,7,5.66,-145,0,0
563,-23,0,1,7,3,-23,0,0
564,-1,0,1,5,7.5,4,0,0
565,-76,0,5,3,8.25,-96,0,0
566,339,0,4,6,27.5,162,0,0
567,-30,0,2,8,1.58,-21,0,0
568,20,0,3,9,14.08,30,0,0
569,-150,0,3,6,1,-149,0,0
570,478,0,2,5,2.75,421,0,0
571,-68,0,3,7,15,-1,0,0
572,194,0,6,2,23.25,174,0,0
573,-3,0,3,6,1,43,0,0
574,-121,0,3,5,3.75,-102,0,0
575,-24,0,3,9,5.33,-21,0,0
576,-1,0,3,2,8.33,-3,0,0
577,-109,0,2,6,4.33,34,0,0
578,-3,0,7,5,1,-2,0,0
579,41,0,4,5,3.5,-47,0,0
580,12,0,4,6,26.58,-101,0,0
581,-33,0,1,3,1,-8,0,0
582,254,0,5,4,5.25,440,0,0
583,-18,0,2,8,1.83,-69,0,0
584,-24,0,6,3,31.33,-47,0,0
585,-122,0,3,8,20.16,-86,0,0
586,-59,0,6,3,7.33,-24,0,0
587,89,0,6,6,2.58,139,0,0
588,-10,0,2,7,14.91,-107,0,0
589,-17,0,5,4,5.58,81,0,0
590,-34,0,1,8,1,-36,0,0
591,468,0,5,4,17.91,206,0,0
592,509,0,4,4,6.33,512,0,0
593,-20,0,1,8,1,93,0,0
594,205,0,2,6,7.41,205,0,0
595,-14,0,3,7,20.58,-94,0,0
596,513,0,3,9,2.66,334,0,0
597,73,0,3,6,1.66,99,0,0
598,-15,0,2,4,1.33,-18,0,0
599,184,0,6,1,29.91,92,0,0
600,124,0,5,7,10.66,73,0,0
